building_type,site_eui,site_energy_use,compliance_status,ghg_emissions_total,property_type_education,property_type_office,property_type_other,property_type_storage,neighborhood_east,neighborhood_north,neighborhood_south,neighborhood_west,property_use_list_office,property_use_list_other,property_use_list_storage,building_density,electricity_ratio,gas_ratio,year_built_cat,floors_cat,f_is_large_building,f_has_natural_gas,f_has_electricity,district_1,district_2,district_3,district_4,district_5,district_6,district_7
0,-0.046597459144347944,0.3756221066796546,0,0.9692342305124557,0,0,1,0,0,0,0,1,0,1,0,21493.282643816765,0.5057355811535098,0.4942644188463412,5,2,1,1,1,0,0,0,0,0,0,1
0,0.078486450533015,0.19697254826217556,0,0.6130601999102889,0,0,1,0,0,0,0,1,0,1,0,19383.330102778316,0.5471308020605501,0.4528691121405985,5,2,1,1,1,0,0,0,0,0,0,1
0,-0.45071462743182295,0.4001198330590382,0,0.5217408198597334,0,0,1,0,0,0,0,1,0,1,0,25933.66234438961,0.6668134680921665,0.3331863856425671,5,2,1,1,1,0,0,0,0,0,0,1
0,-0.11876124250318948,-0.3248936025503518,0,0.46086123315936317,1,0,0,0,1,0,0,0,0,0,0,18690.66043644652,0.1706037745443513,0.8293959936008695,1,1,0,1,1,0,0,1,0,0,0,0
0,0.13862293666538295,0.09829539724834668,0,0.7007761153274892,0,0,1,0,0,0,0,1,0,1,0,30735.49231612692,0.4541087366838099,0.5458912633160027,5,1,1,1,1,0,0,0,0,0,0,1
0,-0.0297592245052473,-0.29662997947143854,0,-0.0925550721106701,0,1,0,0,0,0,0,0,1,0,0,27491.98625400687,0.586105579769506,0.4138944202301978,2,1,0,1,1,0,0,1,0,0,0,0
0,1.9667719315528127,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,0,1,0,0,1,0,43520.59129588174,0.7134425764328874,0.2457039158151137,1,2,1,1,1,1,0,0,0,0,0,0
0,2.181459260502084,2.1269235222694327,0,2.163166374361386,0,0,1,0,0,1,0,0,0,1,0,46698.47665076167,0.3684099359515809,0.2457039158151137,2,1,0,1,1,0,0,0,0,1,0,0
0,-0.09951758522232357,-0.230030402529128,0,-0.2909352829785436,0,0,1,0,0,0,0,1,0,1,0,14017.164330472611,0.7589346780350157,0.24106525450836333,5,2,0,1,1,0,0,0,0,0,0,1
1,-1.5067113607197336,-0.9759739735450838,1,-0.8871190237655038,1,0,0,0,0,0,1,0,0,0,0,26675.986662006668,600813000000.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0
